room_number,qr,measured_temp,issue_heating,issue_motion,issue_temperature_sensor,issue_door,issue_window,issue_heating_switch,issue_kitchen_switch,issue_wifi,problem_description,solution,short_uuid,mac_address,timestamp,last_motion_time,last_motion_state,voltage_state,temp,broker_connection
120,219B80,25.3,,,,,,,,,,,"219-B80
",02:42:AC:12:00:03,06-09-2023_16-25-17,06-09-2023 16:25:00,1,DETECT,25.8125,NOT CONNECTED
121,1F147F,23.6,,,,,,,,,,,"1F1-47F
",02:42:AC:12:00:03,06-09-2023_16-29-51,06-09-2023 16:29:49,0,DETECT,25.0,NOT CONNECTED
122,68D759,23.1,,,,,Nie dzia³a ca³y czas pokazuje Close ,,,,,,"68D-759
",02:42:AC:12:00:02,06-09-2023_16-36-34,06-09-2023 16:36:33,1,DETECT,24.625,NOT CONNECTED
161,3E1A96,21.9,,,,,,,,,,,"3E1-A96
",02:42:AC:12:00:02,06-09-2023_17-43-21,06-09-2023 17:43:20,1,DETECT,23.0,NOT CONNECTED
161,3E1A96,19.7,,,,,,,,,,,"3E1-A96
",02:42:AC:12:00:03,26-09-2023_10-17-17,26-09-2023 10:17:16,0,DETECT,23.0,NOT CONNECTED
162,825E71,21.7,,,,,,,,,,,"825-E71
",02:42:AC:12:00:02,06-09-2023_17-46-30,06-09-2023 17:46:29,1,DETECT,23.625,NOT CONNECTED
163,15A4A7,21.4,,,,,,,,,,,"15A-4A7
",02:42:AC:12:00:02,06-09-2023_17-48-48,06-09-2023 17:48:47,0,DETECT,23.1875,NOT CONNECTED
166,1B0667,21.2,,,,,,,,,,,"1B0-667
",02:42:AC:12:00:03,06-09-2023_18-02-44,06-09-2023 18:02:22,0,DETECT,23.5625,NOT CONNECTED
167,1A895E,21,,,,,,,,,,,"1A8-95E
",02:42:AC:12:00:02,06-09-2023_18-05-52,06-09-2023 18:05:49,0,DETECT,23.6875,NOT CONNECTED
168,1B4F5A,20.5,,,,,,,,,,,"1B4-F5A
",02:42:AC:12:00:03,06-09-2023_18-08-51,06-09-2023 18:08:32,0,DETECT,22.875,NOT CONNECTED
170,1C67C4,19.4,,,,,,,,,Cover state widnieje jako open ,,"1C6-7C4
",02:42:AC:12:00:02,06-09-2023_18-15-19,06-09-2023 18:15:17,0,DETECT,24.0,NOT CONNECTED
171,29B392,18.8,,,,,,,,,,,"29B-392
",02:42:AC:12:00:03,06-09-2023_18-17-24,06-09-2023 18:17:23,0,DETECT,23.8125,NOT CONNECTED
301a,861E2A,23.4,,,,,,,,,,,"861-E2A
",02:42:AC:12:00:03,06-09-2023_18-46-11,06-09-2023 18:46:11,0,DETECT,24.9375,NOT CONNECTED
301a,0458E1,23.9,,,,,,,,,,,"045-8E1
",02:42:AC:12:00:02,08-09-2023_15-09-38,08-09-2023 15:09:34,0,DETECT,25.75,NOT CONNECTED
301b,A03D94,24.4,,,,,,,,,,,"A03-D94
",02:42:AC:12:00:02,06-09-2023_18-50-32,06-09-2023 18:50:30,1,DETECT,26.0,NOT CONNECTED
301c,86D5B8,24.4,,,Nie widzi czujki temperatury ,,,,,,,,"86D-5B8
",02:42:AC:12:00:02,06-09-2023_18-52-39,06-09-2023 18:52:33,0,DETECT,Sensor not detected,NOT CONNECTED
304,813262,24.1,,,,,,,,,W gniazdku odpowiedzialnym za kuchenkê wogole nie ma pr¹du ,,"813-262
",02:42:AC:12:00:02,06-09-2023_19-04-32,06-09-2023 19:04:32,1,DETECT,23.4375,NOT CONNECTED
305,A85B1D,26.2,,,,,,,,,,,"A85-B1D
",02:42:AC:12:00:02,06-09-2023_19-08-48,06-09-2023 19:08:43,0,DETECT,24.4375,NOT CONNECTED
307,A222D5,23.5,,,,,,,,,,,"A22-2D5
",02:42:AC:12:00:03,06-09-2023_19-12-50,06-09-2023 19:12:47,0,DETECT,24.8125,NOT CONNECTED
309,9AF5BD,23.2,,,,,,,,,,,"9AF-5BD
",02:42:AC:12:00:03,06-09-2023_19-16-43,06-09-2023 19:16:40,0,DETECT,25.875,NOT CONNECTED
313,418C11,21,,,,,,,,,,,"418-C11
",02:42:AC:12:00:03,06-09-2023_19-26-09,06-09-2023 19:26:08,0,DETECT,26.375,NOT CONNECTED
314,A32750,21.2,,,,,,,,,,,"A32-750
",02:42:AC:12:00:02,06-09-2023_19-28-08,06-09-2023 19:28:07,0,DETECT,25.875,NOT CONNECTED
316,338A61,22.7,,,,,,,,,,,"338-A61
",02:42:AC:12:00:02,06-09-2023_19-32-24,06-09-2023 19:32:22,0,DETECT,26.0,NOT CONNECTED
317,AF5D41,22.6,,,,,,,,,,,"AF5-D41
",02:42:AC:12:00:03,06-09-2023_19-34-39,06-09-2023 19:34:39,1,DETECT,23.875,NOT CONNECTED
320,8BD8D1,22.5,,,,,,,,,,,"8BD-8D1
",02:42:AC:12:00:02,06-09-2023_19-38-48,06-09-2023 19:38:46,0,DETECT,Sensor not detected,NOT CONNECTED
,,,,,Nie widzi czujki temperatury ,,,,,,,,"8BD-8D1
",02:42:AC:12:00:02,06-09-2023_19-38-57,06-09-2023 19:38:54,0,DETECT,Sensor not detected,NOT CONNECTED
321,3F9AF4,21.5,,,,,,,,,Gniazdko odpowiedzialne za kuchenkê nie dzia³a ,,"3F9-AF4
",02:42:AC:12:00:03,06-09-2023_19-44-40,06-09-2023 19:44:37,0,DETECT,25.625,NOT CONNECTED
362,88C889,20,,,,,,,Kuchenka nie w³¹cza siê nie s³uchaæ pstrykania ,,,,"88C-889
",02:42:AC:12:00:03,06-09-2023_19-50-58,06-09-2023 19:50:45,0,DETECT,23.8125,NOT CONNECTED
363,9A6A06,19.8,,,Nie widzi czujki temperatury ,,,,Nie dzia³a poprawnie s³ychaæ pstrykanie ,,,,"9A6-A06
",02:42:AC:12:00:03,06-09-2023_19-54-26,06-09-2023 19:54:19,0,DETECT,Sensor not detected,NOT CONNECTED
,,,,,,,,,,,UPDATE Kuchenka dzia³a poprawnie Ÿle ustawi³em bezpieczniki ,,"9A6-A06
",02:42:AC:12:00:03,06-09-2023_20-01-39,06-09-2023 20:01:32,0,DETECT,Sensor not detected,NOT CONNECTED
364,9E299E,20.1,,,,,,,Kuchenka nie zmienia swojego stanu s³ychaæ pstrykanie ,,,,"9E2-99E
",02:42:AC:12:00:02,06-09-2023_19-58-11,06-09-2023 19:58:11,1,DETECT,23.625,NOT CONNECTED
,,,,,,,,,,,UPDATE Kuchenka dzia³a poprawnie Ÿle ustawi³em bezpieczniki ,,"9E2-99E
",02:42:AC:12:00:02,06-09-2023_20-00-06,06-09-2023 19:59:45,0,DETECT,23.75,NOT CONNECTED
367,A084CD,21.2,,Nie dzia³a poprawnie ostatnio widzia³o ruch wczoraj ,,,Nie dzia³a ca³y czas pokazuje Close ,,,,,,"A08-4CD
",02:42:AC:12:00:03,06-09-2023_20-08-56,05-09-2023 18:19:08,1,DETECT,23.5625,NOT CONNECTED
368,A16423,21.1,,Nie dzia³a poprawnie ostatnio widzia³o ruch wczoraj ,,,,,,,,,"A16-423
",02:42:AC:12:00:03,06-09-2023_20-12-36,05-09-2023 18:17:44,1,DETECT,23.625,NOT CONNECTED
369,9E8444,20.3,,,,,,,,,,,"9E8-444
",02:42:AC:12:00:02,06-09-2023_20-15-39,06-09-2023 20:15:38,1,DETECT,24.9375,NOT CONNECTED
370,ADECB3,19.6,,,,,,,,,,,"ADE-CB3
",02:42:AC:12:00:02,06-09-2023_20-18-29,06-09-2023 20:18:29,0,DETECT,23.9375,NOT CONNECTED
371,977E1B,18.6,,,,Nie dzia³a poprawnie ca³y czas widnieje Close ,,,,,,,"977-E1B
",02:42:AC:12:00:02,06-09-2023_20-22-31,06-09-2023 20:22:30,0,DETECT,23.4375,NOT CONNECTED
373,A1826D,19.6,,Nie dzia³a poprawnie ostatnio widzia³o ruch wczoraj ,,,,,,,,,"A18-26D
",02:42:AC:12:00:02,06-09-2023_20-27-52,05-09-2023 18:17:47,0,DETECT,24.0625,NOT CONNECTED
374,A1DF96,19.6,,,,,,,,,,,"A1D-F96
",02:42:AC:12:00:02,06-09-2023_20-31-08,06-09-2023 20:30:45,0,DETECT,23.5,NOT CONNECTED
112,6B558B,23.5,,,,,,,,,,,"6B5-58B
",02:42:AC:13:00:03,07-09-2023_12-40-37,07-09-2023 12:40:27,0,DETECT,24.0,NOT CONNECTED
112,6B558B,21.4,,,,,,,,,,,"6B5-58B
",02:42:AC:12:00:03,26-09-2023_11-35-54,26-09-2023 11:35:39,0,DETECT,21.875,NOT CONNECTED
165,29FD74,22.2,,,,,,,,,,,"29F-D74
",02:42:AC:12:00:03,07-09-2023_12-46-39,07-09-2023 12:46:34,0,DETECT,22.1875,NOT CONNECTED
165,29FD74,21.5,,,,,,,,,,,"29F-D74
",02:42:AC:12:00:03,26-09-2023_12-13-26,26-09-2023 12:13:22,0,DETECT,23.6875,NOT CONNECTED
124,AC1FF4,21.3,,,,,,,,,,,"AC1-FF4
",02:42:AC:12:00:03,07-09-2023_15-14-18,07-09-2023 15:14:17,0,DETECT,23.5625,NOT CONNECTED
